,USERID,ORDERDATE,ORDERID,AMOUNTINFO
494,66519,2018-01-03,4194480884,3899.0
495,99408,2018-01-03,4180358230,3799.0
496,140105,2018-01-03,4195615998,3599.0
497,92646,2018-01-03,4190926052,3444.0
498,135740,2018-01-03,4196718761,3399.0
499,107056,2018-01-03,4192217573,3388.0
500,110915,2018-01-03,4193722882,3344.0
501,76695,2018-01-03,4195410603,3299.0
502,93088,2018-01-03,4201874503,3139.0
503,100600,2018-01-03,4202216486,3139.0
504,145898,2018-01-03,4183767436,3099.0
505,110942,2018-01-03,4194796333,3099.0
506,126011,2018-01-03,4190497803,3098.0
507,108025,2018-01-03,4190927428,3098.0
508,137337,2018-01-03,3983313134,3088.0
509,100115,2018-01-03,4188026089,2999.0
510,73479,2018-01-03,4198973127,2999.0
511,98085,2018-01-03,4194463067,2988.0
512,76291,2018-01-03,4200414292,2899.0
513,105159,2018-01-03,4171616888,2899.0
514,137974,2018-01-03,4198007788,2896.0
515,155648,2018-01-03,4155892348,2799.0
516,73750,2018-01-03,4127161325,2799.0
517,144950,2018-01-03,4190733161,2659.0
518,156683,2018-01-03,4197266890,2599.0
519,61702,2018-01-03,4198855492,2599.0
520,112201,2018-01-03,4192682649,2580.0
521,75246,2018-01-03,4186348748,2499.0
522,163469,2018-01-03,4196049394,2499.0
523,79863,2018-01-03,4193637588,2399.0
524,88127,2018-01-03,4178299426,2344.0
525,162404,2018-01-03,4198844911,2299.0
526,56198,2018-01-03,4195113397,2278.0
527,160198,2018-01-03,4194220607,2199.0
528,119712,2018-01-03,4196790562,2199.0
529,152884,2018-01-03,4192270873,2199.0
530,162914,2018-01-03,4194215481,2199.0
531,144622,2018-01-03,4202898471,2099.0
532,85125,2018-01-03,3282021377,1999.0
533,162540,2018-01-03,4194498308,1899.0
534,128725,2018-01-03,4197209937,1888.0
535,133212,2018-01-03,4202196114,1888.0
536,130207,2018-01-03,4193863284,1699.0
537,98213,2018-01-03,4032090345,1638.0
538,90300,2018-01-03,4201900511,1598.0
539,157209,2018-01-03,4197923451,1399.0
540,63887,2018-01-03,4198516920,1399.0
541,83406,2018-01-03,4195396686,1399.0
542,100003,2018-01-03,4192435694,1358.0
543,117441,2018-01-03,4201728655,1348.0
544,82197,2018-01-03,4202249276,1198.0
545,122469,2018-01-03,4191358250,999.0
546,76456,2018-01-03,4185172735,999.0
547,141158,2018-01-03,4191496626,999.0
548,61337,2018-01-03,4200062401,998.0
549,97483,2018-01-03,4190088792,829.0
550,112884,2018-01-03,4197296784,791.0
551,94560,2018-01-03,4202275413,749.0
552,73886,2018-01-03,4178848756,599.0
553,144075,2018-01-03,4193522116,549.0
554,105185,2018-01-03,4199430166,499.0
555,139488,2018-01-03,4090223071,469.0
556,88877,2018-01-03,4121545852,448.0
557,147976,2018-01-03,4197681231,448.0
558,103869,2018-01-03,4180336520,409.0
559,143548,2018-01-03,4191609179,399.0
560,140856,2018-01-03,4197733376,399.0
561,136387,2018-01-03,4185199909,399.0
562,132749,2018-01-03,4200791133,399.0
563,111397,2018-01-03,4198160719,399.0
564,55673,2018-01-03,3925864649,398.0
565,82897,2018-01-03,4197756408,368.0
566,57268,2018-01-03,4146265440,359.0
567,142167,2018-01-03,4198708265,349.0
568,143101,2018-01-03,4193160487,299.0
569,85990,2018-01-03,4029213858,299.0
570,133831,2018-01-03,4196365712,299.0
571,133596,2018-01-03,4191678499,299.0
572,148368,2018-01-03,4099250350,299.0
573,131654,2018-01-03,4190288336,299.0
574,83340,2018-01-03,4100616749,295.0
575,108822,2018-01-03,4196418519,289.0
576,76555,2018-01-03,3650072924,269.0
577,149353,2018-01-03,4196410117,229.0
578,161297,2018-01-03,4106910316,219.0
579,99967,2018-01-03,3564536545,218.0
